question_id,section_type,question_type,difficulty,passage,stimulus,choice_a,choice_b,choice_c,choice_d,choice_e,correct_answer,explanation,wrong_answer_a,wrong_answer_b,wrong_answer_c,wrong_answer_d,wrong_answer_e,source,tags
LR_B1_011,Logical Reasoning,Weaken,2,N/A,The mayor claims that adding bike lanes will reduce traffic congestion because more people will bike instead of drive.,Bike sales have increased recently.,Most drivers commute from distances too far to bike.,Biking is good for cardiovascular health.,The city has a mild climate.,Traffic congestion causes pollution.,B,"If most drivers cannot switch to biking, adding lanes won't reduce the driving volume.",Incorrect. Strengthens the mayor's premise.,Correct. Identifies a barrier to the proposed behavioral shift.,Incorrect. Irrelevant to traffic congestion.,Incorrect. Irrelevant or slightly strengthens.,Incorrect. Out of scope regarding the solution's effectiveness.,custom_gemini_generated,"causal, policy"
LR_B1_012,Logical Reasoning,Weaken,2,N/A,"Drinking green tea daily leads to weight loss, as a study showed daily green tea drinkers lost more weight than non-drinkers.",Green tea is cheaper than coffee.,Green tea has antioxidants.,The green tea drinkers in the study also followed a strict diet.,Weight loss is difficult.,Many people dislike green tea.,C,"Introduces an alternative cause for the weight loss, weakening the tea's causal claim.",Incorrect. Irrelevant economic fact.,Incorrect. Irrelevant health fact.,Correct. Provides an alternative cause.,Incorrect. Broad generalization.,Incorrect. Preference doesn't affect the chemical claim.,custom_gemini_generated,"causal, flaw"
LR_B1_013,Logical Reasoning,Weaken,2,N/A,"Because the new software was installed on Monday and profits dropped on Tuesday, the software caused the profit drop.",The software is expensive.,A major market crash occurred on Monday night.,The software is highly rated.,Competitors use the same software.,Profits are always fluctuating.,B,Provides a much more significant alternative cause for the drop in profits.,Incorrect. Cost alone doesn't explain a sudden drop.,Correct. Offers a strong alternative explanation.,Incorrect. Does not address the profit drop.,Incorrect. Fails to explain the timing of the drop.,Incorrect. Too vague to weaken a specific correlation.,custom_gemini_generated,"causal, alternative"
LR_B1_014,Logical Reasoning,Weaken,2,N/A,"Switching to a four-day workweek will increase company productivity, as employees will be more rested.","Employees will use the fifth day to work second jobs, becoming more exhausted.",A four-day workweek is popular among staff.,Productivity is currently average.,Other companies have five-day workweeks.,The office building will save on utilities.,A,"Shows that the assumed mechanism (rest) will not occur, undermining the conclusion.",Correct. Directly undermines the premise of being rested.,Incorrect. Popularity doesn't equal productivity.,Incorrect. Irrelevant baseline.,Incorrect. Competitors' schedules don't affect this claim.,Incorrect. Cost savings are separate from productivity.,custom_gemini_generated,"causal, assumption"
LR_B1_015,Logical Reasoning,Weaken,2,N/A,Using fertilizer X increases crop yield. We know this because Farm A used X and had a huge harvest.,Farm B used fertilizer Y.,"Farm A is located in a region that received ideal rainfall this year, unlike other regions.",Fertilizer X is organic.,Farm A is a large farm.,Crop yields are measured by weight.,B,"Provides an alternative cause (rainfall) for the large harvest, weakening the fertilizer claim.",Incorrect. Does not affect Farm A's results.,Correct. Introduces a confounding variable.,Incorrect. Organic status is irrelevant to yield claims here.,Incorrect. Size doesn't explain a change in yield rate.,Incorrect. Measurement methods are out of scope.,custom_gemini_generated,"causal, alternative"
LR_B1_016,Logical Reasoning,Strengthen,2,N/A,The new security system will reduce theft. It features high-resolution cameras that deter criminals.,The cameras are expensive.,Criminals are known to avoid areas with visible high-resolution cameras.,The system is easy to install.,Theft has been rising recently.,Security guards are still employed.,B,Confirms the psychological mechanism (deterrence) assumed by the argument.,Incorrect. Cost is irrelevant to effectiveness.,Correct. Bolsters the specific mechanism claimed.,Incorrect. Ease of use doesn't guarantee deterrence.,Incorrect. A rising trend doesn't prove the system will fix it.,Incorrect. Presence of guards doesn't validate the cameras.,custom_gemini_generated,"causal, strengthen"
LR_B1_017,Logical Reasoning,Strengthen,2,N/A,"Students who read physical books score higher on reading tests than those who read on screens, so screens impair comprehension.",Screens emit blue light.,Physical books are heavier.,"In controlled studies where reading material is identical, screen readers consistently score lower.",Tests are usually taken on paper.,Schools are buying more tablets.,C,Rules out variations in content and provides controlled data supporting the causal link.,Incorrect. Blue light is a fact but doesn't explicitly link to comprehension here.,Incorrect. Weight is irrelevant to comprehension.,Correct. Strengthens the correlation by controlling variables.,"Incorrect. Test medium might be a factor, but doesn't prove the claim.",Incorrect. Out of scope policy trend.,custom_gemini_generated,"causal, data"
LR_B1_018,Logical Reasoning,Strengthen,2,N/A,"Because town A implemented a recycling program and saw reduced landfill waste, the program was a success.",Town A also banned all non-recyclable packaging at the exact same time.,Surrounding towns without recycling programs saw no reduction in landfill waste.,Recycling bins are blue.,Town A has a small population.,Landfills are bad for the environment.,B,"Shows that where the cause is absent, the effect is absent, strengthening the causal link.",Incorrect. This would weaken the argument by providing an alternative cause.,Correct. Strengthens by showing a control group without the effect.,Incorrect. Color is irrelevant.,Incorrect. Population size doesn't address the change in waste.,Incorrect. General truth irrelevant to the program's efficacy.,custom_gemini_generated,"causal, control"
LR_B1_019,Logical Reasoning,Strengthen,2,N/A,Taking vitamin C prevents colds. People who take vitamin C rarely get sick.,Vitamin C is sour.,People who take vitamin C also tend to wash their hands more frequently.,Clinical trials show vitamin C destroys cold viruses in the bloodstream.,Colds are caused by viruses.,Oranges contain vitamin C.,C,Provides a biological mechanism explaining how the cause leads to the effect.,Incorrect. Taste is irrelevant.,Incorrect. This weakens the argument by giving an alternative cause.,Correct. Explains the mechanism of action.,Incorrect. Basic fact that doesn't prove the vitamin works.,Incorrect. Source of the vitamin is irrelevant.,custom_gemini_generated,"causal, mechanism"
LR_B1_020,Logical Reasoning,Strengthen,2,N/A,The decline in the local bee population is caused by the new pesticide used by farmers.,Farmers use tractors.,Bees are important for pollination.,"When the pesticide was temporarily banned last year, the bee population immediately recovered.",Other insects are also declining.,The pesticide is cheap.,C,"Shows that removing the purported cause removes the effect, strongly supporting the causal claim.",Incorrect. Irrelevant farming equipment.,Incorrect. Irrelevant ecological fact.,Correct. Demonstrates a clear causal relationship via removal.,"Incorrect. Could imply a broader environmental issue, not necessarily the pesticide.",Incorrect. Cost is irrelevant.,custom_gemini_generated,"causal, removal"
LR_B1_021,Logical Reasoning,Flaw,2,N/A,"Most of the team members are tall. Therefore, the team as a whole must be exceptionally tall compared to other teams.",Fails to consider the coach's height.,Assumes that what is true of the parts is true of the whole relative to an external baseline.,Relies on an emotional appeal.,Attacks the team rather than the argument.,Assumes tall means skilled.,B,"This is a classic fallacy of composition, assuming the aggregate matches the individual traits without a baseline.",Incorrect. The coach is not part of the team members' average.,Correct. Identifies the part-to-whole logical flaw.,Incorrect. No emotion is present in the stimulus.,Incorrect. No ad hominem attack is present.,Incorrect. Skill is never mentioned.,custom_gemini_generated,"flaw, composition"
LR_B1_022,Logical Reasoning,Flaw,2,N/A,"Since every brick in this wall is incredibly light, the wall itself must be easily lifted.",Assumes light bricks are cheap.,Attacks the bricklayer.,Confuses the properties of individual components with the property of the assembled unit.,Assumes the wall is small.,Relies on circular reasoning.,C,Another fallacy of composition; many light things combined become heavy.,Incorrect. Cost is out of scope.,Incorrect. No attack is made.,Correct. Identifies the part-to-whole flaw correctly.,Incorrect. The size is not the core logical error.,Incorrect. The premise and conclusion are distinct.,custom_gemini_generated,"flaw, composition"
LR_B1_023,Logical Reasoning,Flaw,2,N/A,"You cannot prove that ghosts do not exist. Therefore, ghosts must exist.",Confuses a lack of evidence against a claim as definitive evidence for it.,Assumes ghosts are scary.,Attacks skeptics personally.,Relies on scientific data inappropriately.,Assumes all spirits are ghosts.,A,This is an argument from ignorance fallacy.,Correct. Identifies the appeal to ignorance flaw.,Incorrect. Fear is not mentioned.,Incorrect. No personal attack exists.,Incorrect. No science is referenced.,Incorrect. Definitions of spirits are out of scope.,custom_gemini_generated,"flaw, ignorance"
LR_B1_024,Logical Reasoning,Flaw,2,N/A,"The new manager was rude to me on his first day. Clearly, he is a terrible person who will ruin the company.",Assumes the manager is highly paid.,Draws a sweeping conclusion about character and future performance from a single isolated incident.,Attacks the manager's appearance.,Confuses cause and effect.,Assumes the company is successful.,B,This represents a hasty generalization based on a small sample size.,Incorrect. Salary is irrelevant.,Correct. Identifies the hasty generalization flaw.,Incorrect. Appearance isn't mentioned.,Incorrect. No causal relationship is mixed up here.,Incorrect. The company's current status is unstated.,custom_gemini_generated,"flaw, generalization"
LR_B1_025,Logical Reasoning,Flaw,2,N/A,"Either we cut all funding to the arts, or the city will go bankrupt immediately.",Presents a false dilemma by ignoring other potential budget solutions.,Assumes art is unimportant.,Attacks artists.,Confuses sufficient and necessary conditions.,Assumes bankruptcy is bad.,A,The argument ignores middle ground options or other areas to cut funding.,Correct. Identifies the false dichotomy flaw.,"Incorrect. The argument is about money, not intrinsic importance.",Incorrect. No ad hominem attack.,"Incorrect. The logic is a binary choice, not a conditional mix-up.","Incorrect. Bankruptcy being bad is universally accepted, not the logical flaw.",custom_gemini_generated,"flaw, dichotomy"
LR_B1_026,Logical Reasoning,Flaw,2,N/A,"Professor Smith argues that we should invest in solar energy. But Smith was recently fired for plagiarism, so his argument is worthless.",Assumes solar energy is cheap.,Attacks the person making the argument rather than the merits of the argument itself.,Confuses solar with wind energy.,Assumes plagiarism is legal.,Relies on outdated statistics.,B,This is a textbook ad hominem fallacy.,Incorrect. Cost of energy is out of scope.,Correct. Accurately identifies the ad hominem flaw.,Incorrect. Wind energy is not mentioned.,Incorrect. Legality is irrelevant to the logical structure.,Incorrect. No statistics are used.,custom_gemini_generated,"flaw, ad_hominem"
LR_B1_027,Logical Reasoning,Flaw,2,N/A,"Everyone knows that watching too much television rots your brain, so it must be true.",Relies on popular opinion rather than factual evidence to support a claim.,Assumes television is expensive.,Attacks television producers.,Confuses a cause with an effect.,Assumes reading is better.,A,This is an appeal to popularity (ad populum) fallacy.,Correct. Identifies the appeal to majority flaw.,Incorrect. Cost is not discussed.,Incorrect. Producers are not mentioned.,"Incorrect. No causal mix-up, just poor evidence.",Incorrect. Reading is not discussed.,custom_gemini_generated,"flaw, popularity"
LR_B1_028,Logical Reasoning,Flaw,2,N/A,"We must strictly regulate AI, because if we don't, robots will take all jobs, leading to mass poverty, and eventually the end of human civilization.",Assumes AI is currently advanced.,Engages in a slippery slope fallacy without justifying the inevitable progression of these extreme events.,Confuses AI with simple software.,Attacks technologists.,Assumes poverty can be solved.,B,"The argument jumps from a lack of regulation to extreme, unsupported consequences.",Incorrect. Current advancement is not the logical leap.,Correct. Accurately identifies the slippery slope flaw.,Incorrect. Definitions are not the core issue.,Incorrect. No ad hominem is present.,Incorrect. Poverty solutions are out of scope.,custom_gemini_generated,"flaw, slippery_slope"
LR_B1_029,Logical Reasoning,Assumption,2,N/A,The restaurant's new menu will definitely attract more customers because it features a wide variety of spicy dishes.,The restaurant is located in a busy area.,Spicy food is currently cheap to source.,There is a significant customer base that desires and will seek out spicy dishes.,The old menu had no spicy dishes.,The chef is highly trained.,C,The argument only works if people actually want the spicy food being offered.,Incorrect. Location helps but isn't the core assumption linking menu to customers.,"Incorrect. Sourcing cost affects profit, not customer attraction.",Correct. Identifies the necessary link between the menu change and customer increase.,"Incorrect. The old menu could have had some, just not a 'wide variety'.",Incorrect. Chef training is tangential.,custom_gemini_generated,"assumption, causal"
LR_B1_030,Logical Reasoning,Assumption,2,N/A,"To reduce crime, the city should install more streetlights. Well-lit areas have lower crime rates.",Criminals are afraid of the dark.,Streetlights are easy to install.,The lower crime rate in well-lit areas is actually due to the lighting and not some other factor like higher police presence.,Electricity is affordable for the city.,Crime only happens at night.,C,The argument assumes the correlation between light and low crime is a causal relationship.,"Incorrect. While related, it's a generalization not strictly necessary for the argument.",Incorrect. Installation difficulty is irrelevant.,Correct. Identifies the assumption that correlation equals causation.,"Incorrect. Budget is a practical issue, not a logical assumption of the plan's efficacy.",Incorrect. Crime can happen during the day; the plan just aims to reduce overall crime.,custom_gemini_generated,"assumption, causation"
LR_B1_031,Logical Reasoning,Assumption,2,N/A,"Because the new car model is lighter, it will be much faster than the old model.",The new model has an engine with at least equal power to the old model.,The new model is more aerodynamic.,Lighter cars are always safer.,The old model was exceptionally slow.,The new model comes in red.,A,"If the new car is lighter but has a significantly weaker engine, it might not be faster.",Correct. Eliminates a variable that could ruin the conclusion.,"Incorrect. Aerodynamics would help, but engine power is the primary unstated necessary condition.",Incorrect. Safety is out of scope.,"Incorrect. The old model's baseline speed doesn't matter, only the relative speed.",Incorrect. Color is irrelevant.,custom_gemini_generated,"assumption, missing_variable"
LR_B1_032,Logical Reasoning,Main Point,2,N/A,"Many believe that standardizing tests improves education. However, standardizing tests forces teachers to narrow their curriculum to focus only on test material, stifling creativity. Therefore, such tests actually harm the educational process.",Standardized tests improve education.,Teachers lack creativity.,Standardized tests harm the educational process by narrowing the curriculum.,Testing is a modern invention.,Education should be entirely free.,C,"The argument introduces a common view, refutes it with a premise, and delivers a clear conclusion.",Incorrect. This is the view the author argues against.,"Incorrect. The author says tests stifle creativity, not that teachers lack it inherently.",Correct. Accurately summarizes the final conclusion.,Incorrect. Out of scope.,Incorrect. Cost is not discussed.,custom_gemini_generated,"main_point, education"
LR_B1_033,Logical Reasoning,Main Point,2,N/A,"While some companies mandate return-to-office policies to boost collaboration, remote work actually increases productivity and employee retention. Ultimately, strict office mandates are counterproductive for modern businesses.",Collaboration is unimportant.,Remote work increases productivity and retention.,Strict office mandates are counterproductive for modern businesses.,Companies should pay higher salaries.,Modern businesses are failing.,C,The final sentence clearly states the author's primary conclusion derived from the premises.,"Incorrect. The author doesn't say it's unimportant, just that mandates are the wrong tool.","Incorrect. This is a premise supporting the main point, not the main point itself.",Correct. Identifies the core conclusion of the argument.,Incorrect. Salaries are out of scope.,Incorrect. Not supported by the text.,custom_gemini_generated,"main_point, business"
LR_B1_034,Logical Reasoning,Main Point,2,N/A,"Dietary supplements are entirely unregulated. Consequently, consumers have no guarantee that a supplement contains the ingredients listed on its label. It is vital that the government step in to oversee this industry.",Supplements are unregulated.,Consumers have no ingredient guarantees.,The government must oversee the dietary supplement industry.,Supplements are dangerous.,Most labels are accurate.,C,The first two sentences are premises establishing a problem; the final sentence is the proposed solution/conclusion.,Incorrect. This is a premise.,Incorrect. This is a premise.,Correct. Captures the author's call to action and main conclusion.,Incorrect. Danger is implied but not stated as the main point.,Incorrect. Contradicts the tone of the stimulus.,custom_gemini_generated,"main_point, policy"
LR_B1_035,Logical Reasoning,Paradox,2,N/A,"Despite a massive advertising campaign that reached millions and favorable reviews, sales of the new smartphone dropped by 20% in its first month.","The new smartphone is significantly more expensive than competitors' models, putting it out of reach for most consumers.",The advertising campaign was very colorful.,The favorable reviews were written by tech experts.,Smartphones are very popular.,The company's CEO resigned last year.,A,Resolves the paradox by explaining why high awareness and good reviews didn't translate to sales.,Correct. Provides a reason (price barrier) that overrides good marketing.,Incorrect. Doesn't explain the drop in sales.,Incorrect. Doesn't explain the lack of sales.,Incorrect. Deepens the paradox.,Incorrect. Irrelevant to immediate product sales.,custom_gemini_generated,"paradox, business"
LR_B1_036,Logical Reasoning,Flaw,3,N/A,"People who regularly drink diet soda are more likely to be overweight than those who do not. Therefore, the artificial sweeteners in diet soda must cause weight gain.",Assumes diet soda tastes good.,"Fails to consider that being overweight might cause people to choose diet soda, reversing the causal direction.",Attacks diet soda manufacturers.,Confuses diet soda with regular soda.,Assumes weight gain is unhealthy.,B,The argument observes a correlation but leaps to a specific causal direction without ruling out the reverse.,Incorrect. Taste is irrelevant.,Correct. Accurately identifies the reverse causation flaw.,Incorrect. No corporate attack is made.,Incorrect. The stimulus strictly discusses diet soda.,Incorrect. Health implications are not the logical error here.,custom_gemini_generated,"flaw, reverse_causation"
LR_B1_037,Logical Reasoning,Flaw,3,N/A,"The survey shows 80% of respondents oppose the new highway. Clearly, the entire city is against the project.",Assumes the highway is expensive.,Takes a sample that may be unrepresentative and applies its findings to the whole population.,Confuses highways with local roads.,Assumes surveys are always correct.,Relies on emotional language.,B,The stimulus commits a sampling flaw by jumping from 'respondents' to 'the entire city' without establishing representation.,Incorrect. Cost is out of scope.,Correct. Identifies the unrepresentative sample flaw.,Incorrect. Road types are not the issue.,"Incorrect. It assumes the survey applies to everyone, not that its internal math is perfect.",Incorrect. The language is neutral.,custom_gemini_generated,"flaw, sampling"
LR_B1_038,Logical Reasoning,Assumption,3,N/A,"To write a great novel, an author must experience deep suffering. John has had a very comfortable life, so his new book will be mediocre.",Great novels are always long.,A book cannot be great without the author having experienced deep suffering.,John is a bad typist.,Suffering is the only topic of great novels.,Mediocre books sell well.,B,The argument assumes suffering is a necessary condition for greatness.,Incorrect. Length is not discussed.,Correct. Identifies the necessary condition assumed by the argument.,Incorrect. Typing skill is irrelevant.,"Incorrect. The topic isn't restricted, only the author's background.",Incorrect. Sales are out of scope.,custom_gemini_generated,"assumption, necessary_condition"
LR_B1_039,Logical Reasoning,Assumption,3,N/A,"The company's profits will rise next quarter because they have just launched a new, innovative product line.",Innovation is easy.,"Competitors will not immediately release an identical, cheaper product.",Profits have been low recently.,The new product line is a software product.,The CEO expects a bonus.,B,"The conclusion relies on the new product succeeding, which assumes competitors won't instantly neutralize it.",Incorrect. Difficulty of innovation is irrelevant.,Correct. Eliminates an external factor that would ruin the profit prediction.,Incorrect. Past profits don't dictate future rises.,Incorrect. The type of product is not logically necessary.,Incorrect. Executive compensation is out of scope.,custom_gemini_generated,"assumption, defender"
LR_B1_040,Logical Reasoning,Weaken,3,N/A,The city's water quality must be improving because the number of complaints filed about tap water has decreased by 50% this year.,"The city recently introduced a complicated, hard-to-find online system for filing water complaints, replacing the old phone hotline.",Water quality testing is expensive.,Many people drink bottled water.,The city has a small population.,The mayor promised better water last year.,A,"If the reporting system became much harder to use, the drop in complaints is due to friction, not improved water.",Correct. Provides an alternative cause for the drop in complaints.,Incorrect. Testing cost doesn't explain the complaint drop.,"Incorrect. While true, doesn't explain the sudden year-over-year change.",Incorrect. Population size doesn't explain the percentage drop.,Incorrect. A political promise doesn't explain the data metric.,custom_gemini_generated,"weaken, alternative_cause"
LR_B1_041,Logical Reasoning,Strengthen,3,N/A,"Children who play musical instruments demonstrate better mathematical abilities. Thus, musical training enhances mathematical reasoning.",Musical instruments are costly.,Children who play instruments and those who do not have identical socioeconomic backgrounds and baseline IQs in these studies.,Math is a difficult subject.,Many professional musicians are poor at math.,Schools are cutting music programs.,B,"By ruling out confounding variables like wealth or natural intelligence, the causal link is strengthened.",Incorrect. Cost is irrelevant.,Correct. Eliminates alternative explanations for the correlation.,Incorrect. Difficulty is irrelevant.,Incorrect. This would actually weaken the argument.,Incorrect. Policy trends are out of scope.,custom_gemini_generated,"strengthen, eliminate_alternatives"
LR_B1_042,Logical Reasoning,Paradox,3,N/A,"The new hybrid car gets significantly better gas mileage than traditional cars. Yet, buyers of this hybrid end up spending more on gasoline per month than buyers of traditional cars.","Buyers of the hybrid car tend to commute much longer distances, driving nearly three times as many miles per month.",Hybrid cars have smaller gas tanks.,Traditional cars are cheaper to insure.,Gasoline prices have risen slightly.,Hybrid cars require specialized mechanics.,A,Explains how better efficiency can still result in higher total cost if the usage volume is massively higher.,Correct. Resolves the math paradox by introducing a higher multiplier (distance).,"Incorrect. Tank size affects fill-up frequency, not total gas spent.",Incorrect. Insurance is a different cost category.,Incorrect. Price rises affect both cars equally.,Incorrect. Maintenance is a different cost category.,custom_gemini_generated,"paradox, math"
LR_B1_043,Logical Reasoning,Principle,3,N/A,Situation: A doctor lies to a patient about the severity of a terminal illness to prevent the patient from falling into a severe depression.,Lying is acceptable if it generates a financial benefit.,Medical professionals must never lie under any circumstances.,It is justifiable to deceive someone if doing so protects them from immediate emotional harm.,Patients have a right to their medical records.,Depression is difficult to treat.,C,"The doctor prioritizes emotional protection over truth, aligning perfectly with this principle.",Incorrect. No financial benefit is mentioned.,Incorrect. This contradicts the doctor's action.,Correct. Matches the justification used in the stimulus.,Incorrect. Out of scope regarding the act of lying.,"Incorrect. Factual statement, not a guiding principle.",custom_gemini_generated,"principle, ethics"
LR_B1_044,Logical Reasoning,Parallel,3,N/A,"If it snows, the flight will be delayed. It is snowing, so the flight will be delayed.","If I study, I will pass. I passed, so I must have studied.","If the chef adds salt, the soup will be salty. The soup is salty, so he added salt.","If the dog barks, the mail carrier is here. The dog is barking, so the mail carrier is here.","If it rains, I bring an umbrella. I didn't bring an umbrella, so it's not raining.","If the car is out of gas, it won't start. The car won't start.",C,The stimulus is a valid Modus Ponens argument (A -> B; A; therefore B). Choice C perfectly matches this structure.,Incorrect. Flawed reverse logic (A -> B; B; therefore A).,Incorrect. Flawed reverse logic (A -> B; B; therefore A).,Correct. Matches A -> B; A; therefore B.,"Incorrect. Valid Modus Tollens, but not matching structure.","Incorrect. Incomplete thought, and hints at reverse logic.",custom_gemini_generated,"parallel, valid"
LR_B1_045,Logical Reasoning,Parallel Flaw,3,N/A,"If you are a professional athlete, you are wealthy. Since Mark is wealthy, he must be a professional athlete.","If a shape is a square, it has four sides. Since it has four sides, it is a square.","If you eat vegetables, you will be healthy. You eat vegetables, so you are healthy.","If the battery is dead, the phone won't turn on. The battery is not dead, so it will turn on.","If it is a dog, it is a mammal. It is a dog, so it is a mammal.","If the alarm rings, wake up. The alarm rang.",A,The stimulus commits the fallacy of affirming the consequent (A -> B; B; therefore A).,Correct. Matches the flawed A -> B; B; therefore A structure.,Incorrect. Valid Modus Ponens.,Incorrect. Fallacy of denying the antecedent.,Incorrect. Valid Modus Ponens.,Incorrect. Not a complete logical argument.,custom_gemini_generated,"parallel_flaw, formal"
LR_B1_046,Logical Reasoning,Flaw,3,N/A,"The meteorologist predicted rain today, but it is sunny. Therefore, meteorology is a completely useless science and we should never listen to weather forecasts.",Assumes sun is better than rain.,Draws an extreme conclusion about an entire field based on a single failed prediction.,Confuses meteorology with astrology.,Attacks the meteorologist personally.,Assumes forecasts are always right.,B,The argument takes one instance of error and expands it to a total invalidation of the field.,Incorrect. Weather preference is irrelevant.,Correct. Identifies the sweeping generalization based on an isolated failure.,Incorrect. No comparison to astrology is made.,"Incorrect. Attacks the science, not the person.",Incorrect. The stimulus relies on a forecast being wrong.,custom_gemini_generated,"flaw, extreme_conclusion"
LR_B1_047,Logical Reasoning,Strengthen,3,N/A,"The ancient ruins must have been built by civilization X, because the pottery shards found there match the unique style of civilization X.",Civilization Y also used that exact pottery style.,The ruins are located near a river.,Radiocarbon dating confirms the ruins date to the exact century civilization X dominated the region.,Pottery is fragile.,Civilization X was known for agriculture.,C,"Provides independent, corroborating evidence (temporal alignment) that supports the claim.",Incorrect. This would weaken the argument.,Incorrect. Irrelevant geographical fact.,Correct. Adds independent scientific evidence supporting the hypothesis.,Incorrect. Irrelevant material fact.,Incorrect. Irrelevant historical fact.,custom_gemini_generated,"strengthen, independent_evidence"
