question_id,section_type,question_type,difficulty,passage,stimulus,choice_a,choice_b,choice_c,choice_d,choice_e,correct_answer,explanation,wrong_answer_a,wrong_answer_b,wrong_answer_c,wrong_answer_d,wrong_answer_e,source,tags
LR_B3_011,Logical Reasoning,Weaken,2,N/A,"The mayor claims that painting crosswalks with bright yellow stripes will stop pedestrians from jaywalking, because the bright color will draw their attention to the designated crossing areas.",Yellow paint fades quickly.,"Most jaywalking occurs because designated crosswalks are spaced too far apart, making them inconvenient.",Drivers can see yellow stripes easily.,Pedestrians often look at their phones.,The city has a limited budget.,B,"If convenience is the root cause of jaywalking, drawing attention to inconvenient spots won't change the behavior.","Incorrect. Fading is a maintenance issue, not a flaw in the initial behavioral logic.",Correct. Provides an alternative cause for the behavior the policy is trying to fix.,Incorrect. This strengthens safety but doesn't address pedestrian behavior.,"Incorrect. Phones distract, but doesn't strictly weaken the color-attention claim like B does.",Incorrect. Budget is irrelevant to efficacy.,custom_gemini_generated,"causal, weaken"
LR_B3_012,Logical Reasoning,Weaken,2,N/A,Taking a nap in the afternoon boosts productivity. We know this because workers who take 20-minute naps at 2 PM finish their daily tasks faster than those who don't.,Naps can cause grogginess.,"Workers who take naps are also the ones allowed to leave work immediately upon finishing their tasks, incentivizing speed.",Coffee also boosts productivity.,Most offices do not have nap rooms.,Task difficulty varies by department.,B,Provides a massive confounding variable (incentive to leave) that explains the speed better than the nap itself.,Incorrect. General fact that doesn't explain the specific study's results.,Correct. Introduces a strong alternative cause for finishing fast.,Incorrect. Alternative stimulants are out of scope.,Incorrect. Feasibility doesn't attack the causal claim.,"Incorrect. Department variance doesn't apply if we assume a randomized or normalized study, but B is a direct attack.",custom_gemini_generated,"causal, alternative_cause"
LR_B3_013,Logical Reasoning,Weaken,2,N/A,"Because the new security guard started on Monday and theft dropped to zero on Tuesday, the new guard single-handedly eliminated theft in the store.",The new guard is paid a high salary.,"The store also installed a highly visible, state-of-the-art camera system on Monday night.",The new guard has no prior experience.,Theft is a common problem in retail.,The store sells expensive jewelry.,B,The camera system provides a highly likely alternative cause for the sudden drop in theft.,Incorrect. Salary doesn't affect the causal claim.,Correct. Offers a strong alternative explanation.,"Incorrect. Lack of experience would weaken his capability, but the camera is a better direct attack on the causality.",Incorrect. General industry fact.,Incorrect. Merchandise type is irrelevant.,custom_gemini_generated,"causal, alternative_cause"
LR_B3_014,Logical Reasoning,Weaken,2,N/A,Switching to a plant-based diet cures acne. Many teenagers who stopped eating dairy and meat saw their skin clear up within months.,Plant-based diets are expensive.,Teenagers frequently outgrow acne naturally due to stabilizing hormones over a few months.,Dairy is a known inflammatory agent.,Some adults also suffer from acne.,Meat provides essential vitamins.,B,"Provides a natural, biological alternative cause for the clearing of skin during the teenage years.",Incorrect. Cost is irrelevant.,Correct. Introduces age and natural development as a confounding variable.,Incorrect. This would actually strengthen the argument.,Incorrect. Adult acne is out of scope.,Incorrect. Nutritional value of meat doesn't address the acne claim.,custom_gemini_generated,"causal, alternative_cause"
LR_B3_015,Logical Reasoning,Weaken,2,N/A,Using software tool X increases coding speed. Team A used tool X and finished their project in half the usual time.,Team B used tool Y.,Team A was assigned a project that was significantly less complex than usual.,Tool X is open-source.,Coding requires intense focus.,Team A has many senior developers.,B,"If the project was inherently easier, it explains the speed without attributing it to the tool.",Incorrect. Team B's tools are irrelevant.,Correct. Provides a strong alternative cause (lower difficulty).,Incorrect. Cost/license is irrelevant.,Incorrect. General fact about coding.,"Incorrect. Seniority helps, but if it's the *same* team A as usual, the complexity change (B) is the variable that explains the difference.",custom_gemini_generated,"causal, alternative_cause"
LR_B3_016,Logical Reasoning,Strengthen,2,N/A,The new highway bypass will reduce noise pollution in the town center by diverting heavy truck traffic away from residential areas.,The bypass is six lanes wide.,Current noise pollution in the town center is almost exclusively generated by the heavy trucks that will now be required to use the bypass.,The town center has many historic buildings.,Residents have complained about noise for years.,Electric trucks are becoming more common.,B,Confirms that the specific thing being diverted is the actual cause of the problem being solved.,Incorrect. Width is irrelevant to the town center's noise.,Correct. Links the solution directly to the root cause.,Incorrect. Historic status is irrelevant.,"Incorrect. Complaints confirm the problem, not the solution's efficacy.","Incorrect. Electric trucks would reduce noise without the bypass, slightly weakening the *need* for it.",custom_gemini_generated,"causal, strengthen"
LR_B3_017,Logical Reasoning,Strengthen,2,N/A,Chewing mint gum improves test performance. Students who chewed mint gum during their final exams scored higher on average than those who didn't.,Mint is a popular flavor.,"In a controlled lab setting, the scent and taste of mint were proven to stimulate the cognitive centers of the brain responsible for recall.",Exams are highly stressful.,Some students swallowed the gum.,The students who chewed gum bought it themselves.,B,Provides a biological mechanism that explains exactly how the cause leads to the observed effect.,Incorrect. Popularity is irrelevant.,Correct. Adds scientific verification of the mechanism.,Incorrect. Stress is a general condition.,Incorrect. Irrelevant behavior.,Incorrect. Source of the gum is irrelevant.,custom_gemini_generated,"causal, mechanism"
LR_B3_018,Logical Reasoning,Strengthen,2,N/A,"Because the factory installed a new ventilation system and employee sick days decreased, the new system improved employee health.",The factory produces harsh chemical fumes.,Other similar factories that did not install the system saw a simultaneous increase in employee sick days due to a regional flu outbreak.,The ventilation system is energy efficient.,Sick days are paid.,Employees wear uniforms.,B,"Shows that a control group (without the system) suffered, while the factory with it did not, strengthening the causal link.","Incorrect. Establishing the presence of fumes helps, but B provides comparative data.",Correct. Uses a control group to rule out a coincidental drop in sickness.,Incorrect. Efficiency is irrelevant.,Incorrect. Compensation is irrelevant.,Incorrect. Uniforms are irrelevant.,custom_gemini_generated,"causal, control_group"
LR_B3_019,Logical Reasoning,Strengthen,2,N/A,Eating ginger reduces nausea. Pregnant women who consumed ginger root reported feeling much less morning sickness.,Ginger is a root vegetable.,Double-blind clinical trials confirmed that the active compounds in ginger block the exact neural receptors that trigger the nausea reflex.,Morning sickness is common in the first trimester.,Ginger can be consumed as tea.,Many women dislike the taste of ginger.,B,Provides clinical proof of the exact biological mechanism linking ginger to the reduction of nausea.,Incorrect. Botanical classification is irrelevant.,Correct. Confirms the mechanism of action.,Incorrect. General medical fact.,Incorrect. Method of consumption is secondary to efficacy.,Incorrect. Taste is irrelevant.,custom_gemini_generated,"causal, mechanism"
LR_B3_020,Logical Reasoning,Strengthen,2,N/A,The drop in local bird populations is caused by outdoor house cats hunting them.,Cats are popular pets.,"When a strict indoor-only ordinance for cats was enforced for one year, the local bird population immediately recovered to historical levels.",Birds eat insects.,There are many stray dogs in the area.,Cat food is inexpensive.,B,"Demonstrates that removing the suspected cause completely reverses the effect, strongly implying causation.",Incorrect. Popularity doesn't prove the hunting claim.,Correct. Validates the claim via a removal test.,Incorrect. Dietary habits of birds are out of scope.,"Incorrect. Stray dogs offer a competing cause, which would weaken the claim.",Incorrect. Cost of food is irrelevant.,custom_gemini_generated,"causal, removal"
LR_B3_021,Logical Reasoning,Flaw,2,N/A,"Every piece of furniture in this room is incredibly heavy. Therefore, if we tie them all together, the resulting structure will be light and easy to carry.",Assumes furniture can be tied together.,Draws a conclusion about a whole that is the exact opposite of the properties of its parts.,Attacks the furniture designer.,Confuses weight with volume.,Assumes the room is large.,B,This is an inverted fallacy of composition; assuming heavy parts somehow make a light whole.,"Incorrect. Tying them is a premise constraint, not the logical flaw.",Correct. Identifies the absurd part-to-whole deduction.,Incorrect. No attack is present.,Incorrect. Volume is not mentioned.,Incorrect. Room size is irrelevant.,custom_gemini_generated,"flaw, composition"
LR_B3_022,Logical Reasoning,Flaw,2,N/A,"Since this puzzle is made of 1,000 tiny, simple pieces, the completed puzzle must be a tiny, simple image.",Assumes puzzles are for children.,Attacks the puzzle maker.,Confuses the properties of individual components with the property of the assembled unit.,Assumes the puzzle is colorful.,Relies on circular reasoning.,C,"Classic fallacy of composition; tiny pieces make a large, complex whole.",Incorrect. Age demographics are out of scope.,Incorrect. No attack is present.,Correct. Identifies the part-to-whole logical error.,Incorrect. Color is not mentioned.,Incorrect. The premise and conclusion are not identical.,custom_gemini_generated,"flaw, composition"
LR_B3_023,Logical Reasoning,Flaw,2,N/A,"No one has ever definitively proven that the Loch Ness Monster does not exist. Therefore, we must accept that it lives in the lake.",Confuses a lack of disconfirming evidence with positive proof of a claim.,Assumes monsters are dangerous.,Attacks Scottish folklore.,Relies on outdated sonar data.,Assumes lakes are deep enough for monsters.,A,Argument from ignorance fallacy.,Correct. Identifies the appeal to ignorance.,Incorrect. Danger is not discussed.,Incorrect. Folklore is not attacked.,Incorrect. Data is not mentioned.,Incorrect. Depth is not the logical issue.,custom_gemini_generated,"flaw, ignorance"
LR_B3_024,Logical Reasoning,Flaw,2,N/A,"My neighbor's teenager was playing loud music yesterday. Clearly, all teenagers are utterly disrespectful menaces to society.",Assumes music is bad.,"Draws a sweeping, absolute conclusion about an entire demographic based on a single instance.",Attacks the neighbor's parenting.,Confuses cause and effect.,Assumes society values quiet.,B,Hasty generalization based on a sample size of one.,"Incorrect. The issue is the generalization, not the music itself.",Correct. Identifies the hasty generalization flaw.,Incorrect. Parenting is not mentioned.,Incorrect. No causal mix-up.,"Incorrect. Society's values are presumed, but the flaw is the demographic leap.",custom_gemini_generated,"flaw, generalization"
LR_B3_025,Logical Reasoning,Flaw,2,N/A,"Either we completely ban all cars from the city center, or our air quality will forever be toxic.",Presents a false dilemma by ignoring moderate solutions like emissions standards or hybrid zones.,Assumes cars are useful.,Attacks drivers.,Confuses sufficient and necessary conditions.,Assumes toxic air is bad.,A,False dichotomy fallacy.,Correct. Identifies the false dilemma.,Incorrect. The speaker likely thinks the opposite.,Incorrect. Drivers are not directly attacked.,Incorrect. No conditional logic error.,"Incorrect. Toxicity being bad is a reasonable assumption, not the logical flaw.",custom_gemini_generated,"flaw, dichotomy"
LR_B3_026,Logical Reasoning,Flaw,2,N/A,"Senator Vance argues we need to fix the potholes on Main Street. But Vance was once caught speeding, so his infrastructure plan is clearly garbage.",Assumes potholes are dangerous.,Dismisses a policy argument solely by attacking the character of the person proposing it.,Confuses speeding with reckless driving.,Assumes speeders don't care about roads.,Relies on emotional appeals.,B,Ad hominem fallacy.,Incorrect. Danger is not the core logical error.,Correct. Accurately describes the ad hominem attack.,Incorrect. Driving records don't invalidate infrastructure arguments.,"Incorrect. This is an assumption, but not the name of the flaw.","Incorrect. It's an attack, not just an emotional appeal.",custom_gemini_generated,"flaw, ad_hominem"
LR_B3_027,Logical Reasoning,Flaw,2,N/A,"The latest fashion magazine says neon green is the best color for summer, and millions of teenagers agree, so it must be the objectively best color.",Relies on popular opinion and a single authority to establish an objective truth about a subjective matter.,Assumes neon green is bright.,Attacks fashion designers.,Confuses summer with winter.,Assumes teenagers buy clothes.,A,Appeal to popularity/authority fallacy on a subjective topic.,Correct. Identifies the ad populum flaw.,"Incorrect. Brightness is a fact, not a flaw.",Incorrect. No attack is present.,Incorrect. Seasons are not confused.,Incorrect. Buying habits are out of scope.,custom_gemini_generated,"flaw, popularity"
LR_B3_028,Logical Reasoning,Flaw,2,N/A,"If we let employees work from home one day a week, they will soon demand to work from home every day, and eventually, the office will be abandoned entirely.",Assumes working from home is productive.,"Engages in a slippery slope fallacy, assuming an unstoppable chain reaction without evidence.",Confuses a home with an office.,Attacks the employees' work ethic.,Assumes the office lease is expensive.,B,Slippery slope fallacy predicting extreme consequences.,Incorrect. Productivity isn't the core issue.,Correct. Identifies the slippery slope.,Incorrect. Definitions are not the issue.,"Incorrect. While implied, the *structure* of the flaw is the chain reaction.",Incorrect. Lease cost is out of scope.,custom_gemini_generated,"flaw, slippery_slope"
LR_B3_029,Logical Reasoning,Assumption,2,N/A,The new coffee shop will definitely be successful because it is located right next to the train station.,Coffee is a healthy drink.,Commuters who use the train station actually buy coffee during their daily transit.,The train station is open 24 hours a day.,The coffee shop has free Wi-Fi.,The coffee shop is a franchise.,B,The location only guarantees success if the people at that location actually want the product.,Incorrect. Health is irrelevant to sales.,Correct. Connects the location to actual consumer behavior necessary for success.,"Incorrect. 24-hour operation isn't necessary, just busy enough hours.","Incorrect. Wi-Fi is a perk, not the core necessary assumption.",Incorrect. Franchise status is irrelevant.,custom_gemini_generated,"assumption, necessary"
LR_B3_030,Logical Reasoning,Assumption,2,N/A,"Switching our delivery trucks from gas to electric will save the company $10,000 a month in fuel costs.",Electric trucks are quieter than gas trucks.,"The cost of electricity to charge the trucks is not greater than the $10,000 saved on gasoline.",Gas prices are incredibly high right now.,The company has 50 delivery trucks.,Electric trucks look futuristic.,B,"If electricity costs $11,000, they lose money. The argument assumes the alternate cost is lower.",Incorrect. Noise is irrelevant.,Correct. Defends the math from a catastrophic loophole.,Incorrect. Current gas prices are factored into the $10k claim; they don't need to be 'incredibly high'.,Incorrect. Fleet size is factored into the $10k claim.,Incorrect. Aesthetics are irrelevant.,custom_gemini_generated,"assumption, math"
LR_B3_031,Logical Reasoning,Assumption,2,N/A,"Because the candidate raised the most money during the campaign, she is guaranteed to win the election.",Raising the most money is the only factor that voters consider when casting their ballots.,The candidate is very charismatic.,The opposing candidates raised very little money.,Elections are held on Tuesdays.,The candidate spent the money on television ads.,A,The argument takes one variable (money) and makes it the sole determinant of a complex outcome.,Correct. Identifies the extreme assumption required to guarantee a win.,"Incorrect. Charisma might help, but isn't strictly assumed by the money logic.","Incorrect. The relative amount is all that matters, not the absolute amount.",Incorrect. Day of the week is irrelevant.,Incorrect. Spending method is secondary to the assumption that money equals victory.,custom_gemini_generated,"assumption, sufficient_condition"
LR_B3_032,Logical Reasoning,Main Point,2,N/A,"Many people believe that stretching before a run prevents injuries. However, recent sports medicine studies show that cold stretching can actually cause micro-tears in the muscle. Therefore, runners should stick to dynamic warm-ups instead of static stretching.",Stretching before a run prevents injuries.,Cold stretching causes micro-tears.,Runners should stick to dynamic warm-ups instead of static stretching.,Running is a dangerous sport.,Sports medicine is a new field.,C,"The passage identifies a misconception, provides medical evidence, and concludes with a recommendation.",Incorrect. This is the misconception.,Incorrect. This is the premise/evidence.,Correct. Captures the author's prescriptive conclusion.,Incorrect. Not stated in the text.,Incorrect. Out of scope.,custom_gemini_generated,"main_point, health"
LR_B3_033,Logical Reasoning,Main Point,2,N/A,"While single-use plastics offer unparalleled convenience, they persist in the environment for centuries, choking marine life. Ultimately, governments must ban single-use plastics to preserve ocean ecosystems.",Single-use plastics are convenient.,Plastics persist in the environment for centuries.,Governments must ban single-use plastics to preserve ocean ecosystems.,Marine life is highly adaptable.,Recycling programs are highly effective.,C,"The text presents the conflict between convenience and ecology, ending with a policy demand.",Incorrect. Premise.,Incorrect. Premise.,Correct. Identifies the final conclusion and call to action.,Incorrect. The text implies they are dying ('choking').,"Incorrect. The text argues for a ban, not recycling.",custom_gemini_generated,"main_point, environment"
LR_B3_034,Logical Reasoning,Main Point,2,N/A,"Open-concept offices were designed to foster collaboration. However, the constant noise and lack of privacy lead to massive decreases in deep-focus work. Businesses need to return to offering private offices to maximize employee output.",Open-concept offices foster collaboration.,Constant noise decreases deep-focus work.,Businesses need to return to private offices to maximize output.,Private offices are expensive to build.,Employees enjoy listening to music.,C,The author outlines the failure of a design trend and concludes with a structural recommendation.,"Incorrect. This was the intended goal, not the author's point.",Incorrect. Premise supporting the conclusion.,Correct. Summarizes the author's proposed solution.,Incorrect. Cost is not discussed.,Incorrect. Music is out of scope.,custom_gemini_generated,"main_point, business"
LR_B3_035,Logical Reasoning,Paradox,2,N/A,"A popular streaming service dramatically increased its monthly subscription fee. Unexpectedly, the service saw a massive surge in new subscribers the following month.","The streaming service added a highly anticipated, exclusive new season of the world's most popular television show on the same day the price increased.",The streaming service changed its logo.,Other streaming services lowered their prices.,The economy entered a recession.,The CEO of the streaming service resigned.,A,Explains how the negative impact of a price hike was overwhelmed by an even stronger positive incentive.,Correct. Resolves the paradox by introducing an overriding motivation to subscribe.,Incorrect. A logo change doesn't drive massive subscriptions.,Incorrect. This would deepen the paradox; they should have lost subscribers to competitors.,"Incorrect. A recession usually reduces discretionary spending, deepening the paradox.",Incorrect. CEO changes don't usually drive immediate subscription surges.,custom_gemini_generated,"paradox, business"
LR_B3_036,Logical Reasoning,Flaw,3,N/A,"Every time the city increases the police budget, crime rates go up the following year. Therefore, increasing the police budget actively causes more crime.",Assumes police are well-trained.,Fails to consider that an anticipated rise in crime might cause the city to preemptively increase the police budget.,Attacks the police department.,Confuses crime with minor infractions.,Assumes the budget is limitless.,B,"The argument confuses the direction of causation, missing that the effect (crime) might be anticipated, triggering the cause (budget).",Incorrect. Training is out of scope.,Correct. Identifies the reverse causation flaw.,Incorrect. No attack is present.,Incorrect. Categorization is not the issue.,Incorrect. Budget limits are not the logical error.,custom_gemini_generated,"flaw, reverse_causation"
LR_B3_037,Logical Reasoning,Flaw,3,N/A,"We tested the new allergy pill on 10 healthy college athletes, and none reported feeling drowsy. Therefore, the pill will not cause drowsiness in the elderly.",Assumes allergies are common.,"Draws a conclusion about a vulnerable population based on a sample of a highly resilient, non-representative population.",Confuses drowsiness with fatigue.,Assumes the pill is expensive.,Relies on subjective self-reporting.,B,Testing athletes to prove safety for the elderly is a severe unrepresentative sample flaw.,Incorrect. Prevalence of allergies is out of scope.,Correct. Accurately identifies the biased sampling flaw.,Incorrect. Terminology is not the core issue.,Incorrect. Cost is out of scope.,Incorrect. Self-reporting is standard; the demographic is the flaw.,custom_gemini_generated,"flaw, sampling"
LR_B3_038,Logical Reasoning,Assumption,3,N/A,"To write a hit pop song, one must use a four-chord progression. Dave used a complex jazz progression, so his song will definitely not be a hit.",Pop songs are always simple.,Using a four-chord progression is the only way a song can become a hit.,Dave is a bad musician.,Jazz is unpopular.,Hit songs make a lot of money.,B,"The argument assumes that the four-chord rule is an absolute, necessary condition for *any* hit song.","Incorrect. Simplicity is a generalization, not the strict logical link.",Correct. Identifies the necessary condition assumed by the argument.,Incorrect. Musicianship is not attacked.,Incorrect. Jazz popularity is too broad; the issue is the specific hit status of Dave's song.,Incorrect. Revenue is out of scope.,custom_gemini_generated,"assumption, necessary_condition"
LR_B3_039,Logical Reasoning,Assumption,3,N/A,The airline will save fuel this year because they replaced all heavy paper manuals in the cockpit with lightweight iPads.,iPads are incredibly expensive to purchase.,The weight of the iPads and charging cables combined is less than the weight of the paper manuals they replaced.,Pilots prefer using iPads over paper manuals.,Aviation fuel prices are dropping.,The airline flies international routes.,B,"If the iPads and their accessories weigh more than the paper, the fuel-saving premise is destroyed.",Incorrect. Cost is irrelevant to fuel savings.,Correct. Eliminates a physical variable that would ruin the conclusion.,Incorrect. Preference doesn't affect physics/weight.,"Incorrect. Fuel prices affect money, but not the physical amount of fuel saved.",Incorrect. Route type is irrelevant to the weight equation.,custom_gemini_generated,"assumption, mechanics"
LR_B3_040,Logical Reasoning,Weaken,3,N/A,The literacy program in Town A is a massive success because test scores among 3rd graders improved by 20% this year.,Town A completely changed its standardized test this year to a much easier version.,The literacy program was very expensive to implement.,Town B saw a 25% improvement without a literacy program.,Parents in Town A are highly educated.,Many children enjoy reading outside of school.,A,"If the test was made easier, the scores rising is a reflection of the test, not the program's success.",Correct. Provides a devastating alternative cause for the score increase.,Incorrect. Cost doesn't negate the success of the outcome.,Incorrect. Town B's success doesn't necessarily mean Town A's program failed.,Incorrect. Educated parents are a constant baseline; they don't explain a sudden year-over-year spike.,"Incorrect. Baseline behavior, doesn't explain the spike.",custom_gemini_generated,"weaken, alternative_cause"
LR_B3_041,Logical Reasoning,Strengthen,3,N/A,"Introducing wolves back into the national park restored the river ecosystem. The wolves hunted the elk, preventing them from overgrazing the riverbanks.",Wolves are apex predators.,Aerial photographs from before and after the wolf introduction show dramatic regrowth of willow trees and stabilization of the riverbanks exactly where elk populations dropped.,Elk populations were artificially high due to human feeding.,Wolves sometimes hunt livestock outside the park.,River ecosystems are highly complex.,B,"Provides independent, photographic evidence corroborating the exact causal mechanism described.","Incorrect. Predator status is a given, doesn't prove the specific river effect.",Correct. Adds empirical data linking the cause (wolves/elk drop) to the effect (riverbank health).,"Incorrect. Explains why elk were high, but doesn't prove the wolves fixed the river.","Incorrect. Weakens the overall popularity of the program, but irrelevant to the river.",Incorrect. Complexity doesn't strengthen the specific claim.,custom_gemini_generated,"strengthen, evidence"
LR_B3_042,Logical Reasoning,Paradox,3,N/A,"The new smartphone features a battery with double the physical capacity of the previous model. However, users report that the new phone dies twice as fast as the old one.","The new phone features an always-on, ultra-bright 4K display and a high-drain processor that consume quadruple the power of the old model's components.",The new phone is slightly heavier than the old model.,Users charge their phones overnight.,The new battery is made of lithium-ion.,The old phone was discontinued.,A,Explains how increased capacity is rapidly outpaced by a massive increase in power consumption.,Correct. Resolves the math paradox by introducing a dominant countervailing drain.,Incorrect. Weight doesn't affect battery life directly.,Incorrect. Charging habits are assumed constant.,"Incorrect. Material is irrelevant unless it's defective, which isn't stated.",Incorrect. Discontinuation is irrelevant.,custom_gemini_generated,"paradox, math"
LR_B3_043,Logical Reasoning,Principle,3,N/A,"Situation: A teacher catches a student cheating on a final exam. Instead of failing the student immediately as per school policy, the teacher allows the student to retake a different version of the test because the student's parents are going through a bitter divorce.",Rules must be applied strictly and equally to all students without exception.,Compassion and understanding of extenuating personal circumstances should override strict adherence to punitive institutional rules.,Cheating is the worst offense a student can commit.,Teachers should not know about their students' personal lives.,Divorce has a negative impact on academic performance.,B,"The teacher prioritizes compassion over strict policy, matching this principle.",Incorrect. The teacher's action explicitly violates this principle.,Correct. Accurately reflects the ethical prioritization made by the teacher.,"Incorrect. If it were, the teacher wouldn't have offered a retake.",Incorrect. The teacher acted on this knowledge.,"Incorrect. A factual claim, not a guiding ethical principle.",custom_gemini_generated,"principle, ethics"
LR_B3_044,Logical Reasoning,Parallel Flaw,3,N/A,"If the building catches fire, the sprinklers will activate. The sprinklers activated, therefore the building caught fire.","If it rains, the grass is wet. It rained, so the grass is wet.","If the chef adds sugar, the sauce is sweet. The sauce is sweet, so the chef added sugar.","If a dog barks, it is happy. The dog barks, so it is happy.","If the car has gas, it runs. The car does not run, so it has no gas.","If you study, you pass. You studied, so you passed.",B,The stimulus commits the fallacy of affirming the consequent: if A then B; B; therefore A. Choice B uses the same flawed structure: if sugar then sweet; sweet; therefore sugar.,Incorrect. This is valid modus ponens: if rain then wet; rain; therefore wet.,Correct. This matches the flawed affirming-the-consequent pattern.,"Incorrect. This is valid modus ponens, not the same flaw.","Incorrect. This is valid modus tollens, not affirming the consequent.","Incorrect. This is valid modus ponens, not the same flaw.",custom_gemini_generated,"parallel_flaw, conditional"
